date,zz2000_close,hs300_close,zz2000_chg,hs300_chg,spread,nav
20251216,3041.0,4497.55,-1.7264,-1.1974,-0.529,0.99471
20251217,3063.86,4579.88,0.7516,1.8303,-1.0787,0.983979
20251218,3066.09,4552.79,0.0729,-0.5913,0.6643,0.990516
20251219,3111.16,4568.18,1.4699,0.3379,1.1319,1.001728
20251222,3137.92,4611.62,0.86,0.951,-0.091,1.000816
20251223,3118.3,4620.73,-0.6253,0.1976,-0.8228,0.992581
20251224,3166.74,4634.06,1.5535,0.2884,1.2651,1.005138
20251225,3208.14,4642.54,1.3073,0.1829,1.1244,1.01644
20251226,3206.51,4657.24,-0.0508,0.3167,-0.3675,1.012704
20251229,3205.93,4639.37,-0.0182,-0.3837,0.3654,1.016405
20251230,3200.18,4651.28,-0.1794,0.2567,-0.4361,1.011972
20251231,3203.23,4629.94,0.0955,-0.4588,0.5544,1.017582
20260105,3257.09,4717.75,1.6814,1.8965,-0.2151,1.015394
20260106,3296.8,4790.69,1.2191,1.5462,-0.3272,1.012071
20260107,3313.92,4776.67,0.5192,-0.2928,0.8121,1.02029
20260108,3356.89,4737.65,1.2968,-0.8167,2.1136,1.041855
20260109,3412.84,4758.92,1.6666,0.4489,1.2177,1.054541
20260112,3507.11,4789.92,2.7624,0.6513,2.1111,1.076804
20260113,3444.31,4761.03,-1.7907,-0.603,-1.1877,1.064014
20260114,3477.36,4741.93,0.9596,-0.4012,1.3608,1.078493
20260115,3443.47,4751.43,-0.9748,0.2003,-1.1751,1.06582
20260116,3445.07,4731.87,0.0466,-0.4116,0.4582,1.070703
20260119,3484.43,4734.46,1.1426,0.0546,1.088,1.082352
20260120,3449.82,4718.88,-0.9934,-0.329,-0.6644,1.075162
20260121,3484.18,4723.07,0.9962,0.0888,0.9074,1.084917
20260122,3519.06,4723.71,1.001,0.0135,0.9875,1.095631
20260123,3584.4,4702.5,1.8566,-0.4491,2.3057,1.120892
20260126,3527.63,4706.96,-1.5837,0.095,-1.6787,1.102075
20260127,3537.21,4705.69,0.2715,-0.027,0.2986,1.105366
20260128,3511.37,4717.99,-0.7304,0.2614,-0.9917,1.094403
20260129,3468.81,4753.87,-1.212,0.7605,-1.9725,1.072816
20260130,3464.69,4706.34,-0.119,-0.9998,0.8808,1.082266
20260202,3381.36,4605.98,-2.405,-2.1324,-0.2726,1.079316
20260203,3476.93,4660.11,2.8264,1.1752,1.6512,1.097138
20260204,3480.83,4698.68,0.1121,0.8278,-0.7157,1.089286
20260205,3438.21,4670.42,-1.2243,-0.6015,-0.6228,1.082502
20260206,3452.78,4643.6,0.4238,-0.5743,0.9982,1.093307
20260209,3525.83,4719.06,2.1156,1.625,0.4906,1.09867
20260210,3522.23,4724.3,-0.1022,0.111,-0.2133,1.096327
20260211,3506.97,4713.82,-0.433,-0.2218,-0.2113,1.094011
20260212,3516.29,4719.58,0.2655,0.1222,0.1433,1.095579
20260213,3493.18,4660.41,-0.657,-1.2538,0.5968,1.102117
